rxn_smiles,reactant_0,reactant_1,product_0,product_1,reactants,products,r1_valid,r2_valid,p1_valid,p2_valid,reaction
CCC[O]+[CH]1C=CC=CC1<=>CCCO+[C]1=C[CH]CC=C1,CCC[O],[CH]1C=CC=CC1,CCCO,[C]1=C[CH]CC=C1,CCC[O]+[CH]1C=CC=CC1,CCCO+[C]1=C[CH]CC=C1,True,True,True,True,rmg_rxn_875
C=CC+[C]1=C[CH]CC=C1<=>[CH]=CC+[CH]1C=CC=CC1,C=CC,[C]1=C[CH]CC=C1,[CH]=CC,[CH]1C=CC=CC1,C=CC+[C]1=C[CH]CC=C1,[CH]=CC+[CH]1C=CC=CC1,True,True,True,True,rmg_rxn_876
CC[O]+[CH]1C=CC=CC1<=>CCO+[C]1=C[CH]CC=C1,CC[O],[CH]1C=CC=CC1,CCO,[C]1=C[CH]CC=C1,CC[O]+[CH]1C=CC=CC1,CCO+[C]1=C[CH]CC=C1,True,True,True,True,rmg_rxn_877
[O]O+[C]1=C[CH]CC=C1<=>[O][O]+[CH]1C=CC=CC1,[O]O,[C]1=C[CH]CC=C1,[O][O],[CH]1C=CC=CC1,[O]O+[C]1=C[CH]CC=C1,[O][O]+[CH]1C=CC=CC1,True,True,True,True,rmg_rxn_878
[O-][NH+]C[CH2]+[CH]1C=CC=CC1<=>[O-][NH+]CC+[C]1=C[CH]CC=C1,[O-][NH+]C[CH2],[CH]1C=CC=CC1,[O-][NH+]CC,[C]1=C[CH]CC=C1,[O-][NH+]C[CH2]+[CH]1C=CC=CC1,[O-][NH+]CC+[C]1=C[CH]CC=C1,True,True,True,True,rmg_rxn_879
[O-][NH+]CC+[C]1=C[CH]CC=C1<=>[O-][NH+][CH]C+[CH]1C=CC=CC1,[O-][NH+]CC,[C]1=C[CH]CC=C1,[O-][NH+][CH]C,[CH]1C=CC=CC1,[O-][NH+]CC+[C]1=C[CH]CC=C1,[O-][NH+][CH]C+[CH]1C=CC=CC1,True,True,True,True,rmg_rxn_880
[CH2]CC+[CH]1C=CC=CC1<=>CCC+[C]1=C[CH]CC=C1,[CH2]CC,[CH]1C=CC=CC1,CCC,[C]1=C[CH]CC=C1,[CH2]CC+[CH]1C=CC=CC1,CCC+[C]1=C[CH]CC=C1,True,True,True,True,rmg_rxn_881
CSCC+[C]1=C[CH]CC=C1<=>[CH2]SCC+[CH]1C=CC=CC1,CSCC,[C]1=C[CH]CC=C1,[CH2]SCC,[CH]1C=CC=CC1,CSCC+[C]1=C[CH]CC=C1,[CH2]SCC+[CH]1C=CC=CC1,True,True,True,True,rmg_rxn_882
[CH2]C[N]O+[CH]1C=CC=CC1<=>CC[N]O+[C]1=C[CH]CC=C1,[CH2]C[N]O,[CH]1C=CC=CC1,CC[N]O,[C]1=C[CH]CC=C1,[CH2]C[N]O+[CH]1C=CC=CC1,CC[N]O+[C]1=C[CH]CC=C1,True,True,True,True,rmg_rxn_883
CN=O+[C]1=C[CH]CC=C1<=>[CH2]N=O+[CH]1C=CC=CC1,CN=O,[C]1=C[CH]CC=C1,[CH2]N=O,[CH]1C=CC=CC1,CN=O+[C]1=C[CH]CC=C1,[CH2]N=O+[CH]1C=CC=CC1,True,True,True,True,rmg_rxn_884
