product_0,product_1,reactant_0,reactant_1,reaction
NCC#N,N[C]=O,N[CH]C#N,NC=O,rxn_7207
NC=C=N,[NH]C=O,NC=C=[N],NC=O,rxn_7208
NC=C=N,N[C]=O,NC=C=[N],NC=O,rxn_7209
[N-]=CC=[NH2+],[NH]C=O,[N-]=[C]C=[NH2+],NC=O,rxn_7210
[N-]=CC=[NH2+],N[C]=O,[N-]=[C]C=[NH2+],NC=O,rxn_7211
[N-]=C=C[NH3+],[NH]C=O,[N-]=C=C[NH2+],NC=O,rxn_7212
[N-]=C=C[NH3+],N[C]=O,[N-]=C=C[NH2+],NC=O,rxn_7213
NCC#N,[CH]1CO1,N[CH]C#N,C1CO1,rxn_7214
NC=C=N,[CH]1CO1,NC=C=[N],C1CO1,rxn_7215
[N-]=CC=[NH2+],[CH]1CO1,[N-]=[C]C=[NH2+],C1CO1,rxn_7216
[N-]=C=C[NH3+],[CH]1CO1,[N-]=C=C[NH2+],C1CO1,rxn_7217
NCC#N,[C]#CC#C,N[CH]C#N,C#CC#C,rxn_7218
NC=C=N,[C]#CC#C,NC=C=[N],C#CC#C,rxn_7219
[N-]=CC=[NH2+],[C]#CC#C,[N-]=[C]C=[NH2+],C#CC#C,rxn_7220
[N-]=C=C[NH3+],[C]#CC#C,[N-]=C=C[NH2+],C#CC#C,rxn_7221
NCC#N,[C]#CC#N,N[CH]C#N,C#CC#N,rxn_7222
NC=C=N,[C]#CC#N,NC=C=[N],C#CC#N,rxn_7223
[N-]=CC=[NH2+],[C]#CC#N,[N-]=[C]C=[NH2+],C#CC#N,rxn_7224
[N-]=C=C[NH3+],[C]#CC#N,[N-]=C=C[NH2+],C#CC#N,rxn_7225
NCC#N,C#C[C]=O,N[CH]C#N,C#CC=O,rxn_7226
NCC#N,[C]#CC=O,N[CH]C#N,C#CC=O,rxn_7227
NC=C=N,C#C[C]=O,NC=C=[N],C#CC=O,rxn_7228
NC=C=N,[C]#CC=O,NC=C=[N],C#CC=O,rxn_7229
[N-]=CC=[NH2+],C#C[C]=O,[N-]=[C]C=[NH2+],C#CC=O,rxn_7230
[N-]=CC=[NH2+],[C]#CC=O,[N-]=[C]C=[NH2+],C#CC=O,rxn_7231
[N-]=C=C[NH3+],C#C[C]=O,[N-]=C=C[NH2+],C#CC=O,rxn_7232
[N-]=C=C[NH3+],[C]#CC=O,[N-]=C=C[NH2+],C#CC=O,rxn_7233
NCC#N,O=[C]C#N,N[CH]C#N,O=CC#N,rxn_7234
NC=C=N,O=[C]C#N,NC=C=[N],O=CC#N,rxn_7235
[N-]=CC=[NH2+],O=[C]C#N,[N-]=[C]C=[NH2+],O=CC#N,rxn_7236
[N-]=C=C[NH3+],O=[C]C#N,[N-]=C=C[NH2+],O=CC#N,rxn_7237
NCC#N,O=[C]C=O,N[CH]C#N,O=CC=O,rxn_7238
NC=C=N,O=[C]C=O,NC=C=[N],O=CC=O,rxn_7239
[N-]=CC=[NH2+],O=[C]C=O,[N-]=[C]C=[NH2+],O=CC=O,rxn_7240
[N-]=C=C[NH3+],O=[C]C=O,[N-]=C=C[NH2+],O=CC=O,rxn_7241
NCC#N,[O]CC#N,N[CH]C#N,OCC#N,rxn_7242
NCC#N,O[CH]C#N,N[CH]C#N,OCC#N,rxn_7243
NC=C=N,[O]CC#N,NC=C=[N],OCC#N,rxn_7244
NC=C=N,O[CH]C#N,NC=C=[N],OCC#N,rxn_7245
[N-]=CC=[NH2+],[O]CC#N,[N-]=[C]C=[NH2+],OCC#N,rxn_7246
[N-]=CC=[NH2+],O[CH]C#N,[N-]=[C]C=[NH2+],OCC#N,rxn_7247
[N-]=C=C[NH3+],[O]CC#N,[N-]=C=C[NH2+],OCC#N,rxn_7248
[N-]=C=C[NH3+],O[CH]C#N,[N-]=C=C[NH2+],OCC#N,rxn_7249
NCC#N,N#C[CH]C#N,N[CH]C#N,N#CCC#N,rxn_7250
NC=C=N,N#C[CH]C#N,NC=C=[N],N#CCC#N,rxn_7251
[N-]=CC=[NH2+],N#C[CH]C#N,[N-]=[C]C=[NH2+],N#CCC#N,rxn_7252
[N-]=C=C[NH3+],N#C[CH]C#N,[N-]=C=C[NH2+],N#CCC#N,rxn_7253
NCC#N,O1C=[C]N=N1,N[CH]C#N,c1cnno1,rxn_7254
NCC#N,O1[C]=CN=N1,N[CH]C#N,c1cnno1,rxn_7255
