rxn_smiles,reactant_0,reactant_1,product_0,product_1,reactants,products,r1_valid,r2_valid,p1_valid,p2_valid,reaction
[CH]CC+CCSCC<=>[CH2]CC+CCS[CH]C,[CH]CC,CCSCC,[CH2]CC,CCS[CH]C,[CH]CC+CCSCC,[CH2]CC+CCS[CH]C,True,True,True,True,rmg_rxn_55
[NH]N+CCS[CH]C<=>[N]N+CCSCC,[NH]N,CCS[CH]C,[N]N,CCSCC,[NH]N+CCS[CH]C,[N]N+CCSCC,True,True,True,True,rmg_rxn_56
CC[NH]+CCS[CH]C<=>CC[N]+CCSCC,CC[NH],CCS[CH]C,CC[N],CCSCC,CC[NH]+CCS[CH]C,CC[N]+CCSCC,True,True,True,True,rmg_rxn_57
CC#CC+CCS[CH]C<=>[CH2]C#CC+CCSCC,CC#CC,CCS[CH]C,[CH2]C#CC,CCSCC,CC#CC+CCS[CH]C,[CH2]C#CC+CCSCC,True,True,True,True,rmg_rxn_58
CCS+CCS[CH]C<=>CC[S]+CCSCC,CCS,CCS[CH]C,CC[S],CCSCC,CCS+CCS[CH]C,CC[S]+CCSCC,True,True,True,True,rmg_rxn_59
CC=NO+CCS[CH]C<=>CC=N[O]+CCSCC,CC=NO,CCS[CH]C,CC=N[O],CCSCC,CC=NO+CCS[CH]C,CC=N[O]+CCSCC,True,True,True,True,rmg_rxn_60
CCN=O+CCS[CH]C<=>CC=N[O]+CCSCC,CCN=O,CCS[CH]C,CC=N[O],CCSCC,CCN=O+CCS[CH]C,CC=N[O]+CCSCC,True,True,True,True,rmg_rxn_61
[CH2]CSCC+CCSCC<=>CCS[CH]C+CCSCC,[CH2]CSCC,CCSCC,CCS[CH]C,CCSCC,[CH2]CSCC+CCSCC,CCS[CH]C+CCSCC,True,True,True,True,rmg_rxn_62
C[CH]CC+CCSCC<=>CCS[CH]C+CCCC,C[CH]CC,CCSCC,CCS[CH]C,CCCC,C[CH]CC+CCSCC,CCS[CH]C+CCCC,True,True,True,True,rmg_rxn_63
[CH2]CCC+CCSCC<=>CCS[CH]C+CCCC,[CH2]CCC,CCSCC,CCS[CH]C,CCCC,[CH2]CCC+CCSCC,CCS[CH]C+CCCC,True,True,True,True,rmg_rxn_64
