reaction,reactant_0,reactant_1,product_0,product_1
rxn_703,[OH],CN=C,O,[CH2]N=C
rxn_704,[CH3],CN=C,C,[CH2]N=C
rxn_705,[NH2],CN=C,N,[CH2]N=C
rxn_706,[H],NO,[H][H],[NH]O
rxn_707,NO,[O],[OH],[NH]O
rxn_708,[OH],NO,O,[NH]O
rxn_709,NO,[CH3],C,[NH]O
rxn_710,[NH2],NO,N,[NH]O
rxn_711,[O]O,NO,OO,[NH]O
rxn_712,[H],NO,[H][H],N[O]
rxn_713,NO,[O],[OH],N[O]
rxn_714,[OH],NO,O,N[O]
rxn_715,NO,[CH3],C,N[O]
rxn_716,[NH2],NO,N,N[O]
rxn_717,[O]O,NO,OO,N[O]
rxn_718,[H],NN=C,[H][H],[NH]N=C
rxn_719,NN=C,[O],[OH],[NH]N=C
rxn_720,[OH],NN=C,O,[NH]N=C
rxn_721,[CH3],NN=C,C,[NH]N=C
rxn_722,[NH2],NN=C,N,[NH]N=C
rxn_723,[O]O,NN=C,OO,[NH]N=C
rxn_724,[O]O,NN,OO,[NH]N
rxn_725,[OH],C1CC2CCC1C2,O,[CH]1CC2CCC1C2
rxn_726,[OH],C1CC2CCC1C2,O,C1CC2CC[C]1C2
rxn_727,[OH],C1CC2CCC1C2,O,[CH]1C2CCC1CC2
rxn_728,[OH],C1CC2CCCC2C1,O,C1C[C]2CCCC2C1
rxn_729,[OH],C1CCC2CCCC2C1,O,[CH]1CCC2CCCCC12
rxn_730,[OH],C1CCC2CCCC2C1,O,[CH]1CC2CCCCC2C1
rxn_731,[H],C1CC2CCC1C2,[H][H],[CH]1CC2CCC1C2
rxn_732,[H],C1CC2CCC1C2,[H][H],C1CC2CC[C]1C2
rxn_733,[H],C1CC2CCC1C2,[H][H],[CH]1C2CCC1CC2
rxn_734,[H],C1CC2CCCC2C1,[H][H],C1C[C]2CCCC2C1
rxn_735,[H],C1CCC2CCCC2C1,[H][H],[CH]1CCC2CCCCC12
rxn_736,[H],C1CCC2CCCC2C1,[H][H],[CH]1CC2CCCCC2C1
rxn_738,C=CC,C1C[C]2CCCC2C1,C1CC2CCCC2C1,[CH2]C=C
rxn_739,C=CC,[CH]1CCC2CCCCC12,C1CCC2CCCC2C1,[CH2]C=C
rxn_740,C=CC,[CH]1CC2CCCCC2C1,C1CCC2CCCC2C1,[CH2]C=C
rxn_741,C=CC,[CH]1C2CCC1CC2,C1CC2CCC1C2,[CH2]C=C
rxn_742,C=CC,C1CC2CC[C]1C2,C1CC2CCC1C2,[CH2]C=C
rxn_743,C=CCC=C,[CH]1CC2CCC1C2,C1CC2CCC1C2,C=C[CH]C=C
rxn_744,C=CCC=C,C1C[C]2CCCC2C1,C1CC2CCCC2C1,C=C[CH]C=C
rxn_745,C=CCC=C,[CH]1CCC2CCCCC12,C1CCC2CCCC2C1,C=C[CH]C=C
rxn_746,C=CCC=C,[CH]1CC2CCCCC2C1,C1CCC2CCCC2C1,C=C[CH]C=C
rxn_747,C=CCC=C,C1CC2CC[C]1C2,C1CC2CCC1C2,C=C[CH]C=C
rxn_748,C=CCC=C,[CH]1C2CCC1CC2,C1CC2CCC1C2,C=C[CH]C=C
rxn_749,[H],CC(C)O,[H][H],[CH2]C(C)O
rxn_750,[H],CC(C)O,[H][H],C[C](C)O
rxn_751,CC(C)O,[CH3],C,[CH2]C(C)O
rxn_752,CC(C)O,[CH3],C,C[C](C)O
rxn_753,[H],C=CCC,[H][H],C=C[CH]C
rxn_754,[CH3],C=CCC,C,C=C[CH]C
rxn_755,[H],C=CC,[H][H],[CH2]C=C
rxn_757,[CH3],C=CC,C,[CH2]C=C
rxn_758,[CH3],CC=CC,C,[CH2]C=CC
rxn_759,[H],C=C(C)C,[H][H],[CH2]C(=C)C
rxn_760,[CH3],C=C(C)C,C,[CH2]C(=C)C
rxn_761,C=CC,C[CH2],CC,C=[C]C
rxn_762,C=CC,C[CH]C,CCC,C=[C]C
rxn_764,[OH],CCO,O,C[CH]O
rxn_765,[OH],CC(C)CO,O,C[C](C)CO
rxn_766,[H],CO,[H][H],C[O]
rxn_767,[H],CCO,[H][H],C[CH]O
rxn_768,[H],CC(C)CO,[H][H],C[C](C)CO
rxn_769,[H],CC,[H][H],C[CH2]
rxn_770,[CH3],CC,C,C[CH2]
rxn_771,CC(C)CO,[CH3],C,C[C](C)CO
rxn_772,CC(C)CCO,[CH3],C,C[C](C)CCO
rxn_773,CCO,[CH3],C,C[CH]O
rxn_774,[CH]=C,CC,C=C,C[CH2]
rxn_775,[CH]=C,CCO,C=C,C[CH]O
rxn_776,CC(C)CO,[O],[OH],C[C](C)CO
rxn_777,CC(C)CO,[O],[OH],CC(C)[CH]O
rxn_778,OO,C[CH2],CC,[O]O
rxn_779,OO,C[C](C)CO,CC(C)CO,[O]O
rxn_780,OO,C[CH]O,CCO,[O]O
rxn_781,CCCO,[O],[OH],C[CH]CO
rxn_782,[OH],CCCO,O,C[CH]CO
rxn_783,[OH],CCCCO,O,C[CH]CCO
rxn_784,CCCCO,[O],[OH],C[CH]CCO
rxn_785,[H][H],[CH3],C,[H]
rxn_786,[H][H],C[CH2],CC,[H]
rxn_787,[H][H],C[CH]C,CCC,[H]
rxn_790,[H][H],C=C[CH]C,C=CCC,[H]
rxn_791,[H][H],C=C[C](C)C,C=CC(C)C,[H]
rxn_792,[H][H],C=C[CH]C=C,C=CCC=C,[H]
rxn_793,[H][H],C=C[C](C)C=C,C=CC(C)C=C,[H]
rxn_795,[H][H],C#C[CH]C,C#CCC,[H]
rxn_796,[H][H],C#C[C](C)C,C#CC(C)C,[H]
rxn_797,[H][H],C#C[CH]C#C,C#CCC#C,[H]
rxn_798,[H][H],C#C[C](C)C#C,C#CC(C)C#C,[H]
rxn_799,[H][H],[CH2]c1ccccc1,Cc1ccccc1,[H]
rxn_801,[H][H],C[C](C)c1ccccc1,CC(C)c1ccccc1,[H]
rxn_803,[H][H],C=[C]C=C,C=CC=C,[H]
rxn_805,[H][H],C#C[C]=C,C#CC=C,[H]
rxn_806,[H][H],[CH2]S,CS,[H]
rxn_807,[H][H],C[CH]S,CCS,[H]
rxn_810,[H][H],C[CH]C=S,CCC=S,[H]
rxn_813,[H][H],C=[C]C=S,C=CC=S,[H]
rxn_814,[H][H],S[CH]C=C,SCC=C,[H]
rxn_816,[H][H],S[CH]C=S,SCC=S,[H]
rxn_817,[H][H],C[C](C=S)S,CC(C=S)S,[H]
rxn_818,[H][H],S[CH]C#C,SCC#C,[H]
rxn_819,[H][H],C[C](C#C)S,CC(C#C)S,[H]
rxn_824,[H][H],S[C]=S,SC=S,[H]
rxn_825,[H][H],C=C[C]=S,C=CC=S,[H]
rxn_827,[H],C,[H][H],[CH3]
rxn_829,[CH2]C=C,C,C=CC,[CH3]
rxn_830,C=C[CH]C,C,C=CCC,[CH3]
rxn_831,C=C[C](C)C,C,C=CC(C)C,[CH3]
rxn_833,C=C[C](C)C=C,C,C=CC(C)C=C,[CH3]
rxn_835,C#C[CH]C,C,C#CCC,[CH3]
rxn_836,C#C[C](C)C,C,C#CC(C)C,[CH3]
rxn_837,C#C[CH]C#C,C,C#CCC#C,[CH3]
rxn_838,C#C[C](C)C#C,C,C#CC(C)C#C,[CH3]
rxn_839,[CH2]c1ccccc1,C,Cc1ccccc1,[CH3]
rxn_840,C[CH]c1ccccc1,C,CCc1ccccc1,[CH3]
rxn_841,C[C](C)c1ccccc1,C,CC(C)c1ccccc1,[CH3]
rxn_842,[CH]=C,C,C=C,[CH3]
rxn_843,C=[C]C,C,C=CC,[CH3]
rxn_844,C=[C]C=C,C,C=CC=C,[CH3]
rxn_846,[CH2]S,C,CS,[CH3]
rxn_847,C#C[C]=C,C,C#CC=C,[CH3]
